,zip_code,date,desc,temperature,snow,windspeed,visibility,humidity,precipitation
336,19148,2011-10-22,Partly cloudy,54,0.0,13,6,70,0.0
337,19148,2011-10-23,Partly cloudy,58,0.0,3,6,69,0.0
338,19148,2011-10-24,Sunny,60,0.0,10,6,79,0.0
339,19148,2011-10-25,Sunny,58,0.0,15,6,66,0.0
340,19148,2011-10-26,Partly cloudy,62,0.0,11,6,80,0.0
341,19148,2011-10-27,Cloudy,52,0.0,17,6,92,0.0
342,19148,2011-10-28,Partly cloudy,47,0.0,5,6,58,0.0
343,19148,2011-10-29,Overcast,32,0.0,28,6,97,0.0
344,19148,2011-10-30,Sunny,45,0.0,11,6,81,0.0
345,19148,2011-10-31,Partly cloudy,49,0.0,9,6,77,0.0
346,19148,2011-11-01,Sunny,49,0.0,12,6,83,0.0
347,19148,2011-11-02,Sunny,54,0.0,3,6,81,0.0
348,19148,2011-11-03,Partly cloudy,56,0.0,11,6,74,0.0
349,19148,2011-11-04,Sunny,49,0.0,23,6,61,0.0
354,19148,2011-11-05,Sunny,45,0.0,8,6,58,0.0
355,19148,2011-11-06,Sunny,50,0.0,8,6,75,0.0
356,19148,2011-11-07,Sunny,55,0.0,8,6,83,0.0
357,19148,2011-11-08,Sunny,62,0.0,8,6,73,0.0
358,19148,2011-11-09,Sunny,58,0.0,10,6,80,0.0
359,19148,2011-11-10,Cloudy,51,0.0,24,6,77,0.0
360,19148,2011-11-11,Partly cloudy,45,0.0,19,6,58,0.0
361,19148,2011-11-12,Sunny,51,0.0,14,6,67,0.0
362,19148,2011-11-13,Partly cloudy,55,0.0,18,6,64,0.0
363,19148,2011-11-14,Sunny,64,0.0,18,6,81,0.0
364,19148,2011-11-15,Partly cloudy,60,0.0,11,6,71,0.0
365,19148,2011-11-16,Light drizzle,57,0.0,6,1,96,0.0
366,19148,2011-11-17,Partly cloudy,42,0.0,14,6,85,0.0
367,19148,2011-11-18,Sunny,40,0.0,10,6,58,0.0
368,19148,2011-11-19,Partly cloudy,46,0.0,14,6,65,0.0
369,19148,2011-11-20,Cloudy,60,0.0,12,6,84,0.0
370,19148,2011-11-21,Overcast,53,0.0,10,6,82,0.0
371,19148,2011-11-22,Moderate rain,51,0.0,20,4,96,0.1
372,19148,2011-11-23,Cloudy,51,0.0,32,6,78,0.0
373,19148,2011-11-24,Sunny,50,0.0,13,6,79,0.0
374,19148,2011-11-25,Partly cloudy,54,0.0,11,6,66,0.0
375,19148,2011-11-26,Partly cloudy,56,0.0,8,6,66,0.0
376,19148,2011-11-27,Partly cloudy,59,0.0,20,6,85,0.0
377,19148,2011-11-28,Sunny,62,0.0,15,6,87,0.0
378,19148,2011-11-29,Light drizzle,62,0.0,15,1,94,0.0
379,19148,2011-11-30,Partly cloudy,46,0.0,19,6,71,0.0
380,19148,2011-12-01,Sunny,45,0.0,13,6,70,0.0
381,19148,2011-12-02,Sunny,47,0.0,11,6,73,0.0
382,19148,2011-12-03,Partly cloudy,41,0.0,5,6,71,0.0
383,19148,2011-12-04,Sunny,51,0.0,11,6,86,0.0
384,19148,2011-12-05,Sunny,56,0.0,9,6,91,0.0
390,19148,2011-12-06,Light rain,60,0.0,15,5,96,0.0
391,19148,2011-12-07,Moderate rain,54,0.0,16,4,96,0.2
392,19148,2011-12-08,Sunny,40,0.0,16,6,74,0.0
393,19148,2011-12-09,Partly cloudy,46,0.0,12,6,87,0.0
394,19148,2011-12-10,Sunny,37,0.0,19,6,55,0.0
395,19148,2011-12-11,Sunny,34,0.0,2,6,59,0.0
396,19148,2011-12-12,Sunny,35,0.0,2,6,67,0.0
397,19148,2011-12-13,Partly cloudy,39,0.0,14,6,57,0.0
398,19148,2011-12-14,Sunny,44,0.0,8,6,77,0.0
